GlobalEventsID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	isRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	Goldstien	NumMentions	NumSources	NumArticles	AvgTone	Actor1GeoType	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1GeoADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1GeoFeatureID	Actor2GeoType	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2GeoADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2GeoFeatureID	ActionGeoType	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeoADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeoFeatureID	DateAdded	SourceURL
1210811651	20231120	202311	2023	2023.8767											LTU	LITHUANIA	LTU								0	057	057	05	1	8.0	1	1	1	-0.61224489795918	0								4	Industrial Technology Research Institute, Kao-hsiung, Taiwan	TW	TW02	13277	22.7141	120.336	10063632	4	Industrial Technology Research Institute, Kao-hsiung, Taiwan	TW	TW02	13277	22.7141	120.336	10063632	20241119170000	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163
1210811652	20231120	202311	2023	2023.8767	AZE	AZERBAIJAN	AZE																		0	030	030	03	1	4.0	4	1	4	-0.88300220750552	4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	0								4	Baku, Baki*, Azerbaijan	AJ	AJ09	534	40.3953	49.8822	-2705195	20241119170000	https://www.postcourier.com.pg/slow-climate-talks-frustrate-pacific/
1210811653	20231120	202311	2023	2023.8767	BUS	COMPANY						BUS													0	0311	031	03	1	5.2	5	1	5	0.75	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	0								4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20241119170000	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827162
1210811654	20231120	202311	2023	2023.8767	BUS	AIRLINE						BUS			TWN	TAIPEI	TWN								1	035	035	03	1	7.0	2	1	2	1.158940397351	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	1	Philippines	RP	RP		13	122	RP	20241119170000	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193
1210811655	20231120	202311	2023	2023.8767	BUS	AIRLINE						BUS			TWN	TAIPEI	TWN								1	035	035	03	1	7.0	8	1	8	1.158940397351	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	1	Thailand	TH	TH		15	100	TH	20241119170000	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193
1210811656	20231120	202311	2023	2023.8767	BUS	AIRLINE						BUS			USAGUM	GUAM	USA								1	035	035	03	1	7.0	2	1	2	1.158940397351	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20241119170000	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193
1210811657	20231120	202311	2023	2023.8767	BUS	AIRLINE						BUS			USAGUM	GUAM	USA								1	035	035	03	1	7.0	8	1	8	1.158940397351	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	1	Guam	GQ	GQ		13.2613	145.096	GQ	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20241119170000	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193
1210811658	20231120	202311	2023	2023.8767	CAN	CANADA	CAN																		0	130	130	13	3	-4.4	4	1	4	-4.84496124031007	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20241119170000	https://www.castanetkamloops.net/news/BC/518175/A-bomb-cyclone-sounds-scary-but-meteorologist-says-it-s-not-alarmist
1210811659	20231120	202311	2023	2023.8767	CVL	TRAVELER						CVL			TWN	TAIWAN	TWN								0	042	042	04	1	1.9	2	1	2	1.158940397351	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20241119170000	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193
1210811660	20231120	202311	2023	2023.8767	CVL	TRAVELER						CVL			TWN	TAIWAN	TWN								0	043	043	04	1	2.8	2	1	2	1.158940397351	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	1	Guam	GQ	GQ		13.2613	145.096	GQ	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20241119170000	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193
