GLOBALEVENTID	EventTimeDate	MentionTimeDate	MentionType	MentionSourceName	MentionIdentifier	SentenceID	Actor1CharOffset	Actor2CharOffset	ActionCharOffset	InRawText	Confidence	MentionDocLen	MentionDocTone	MentionDocTranslationInfo	Extras
1141291054	20231120031500	20241119170000	1	investorideas.com	https://www.investorideas.com/news/2024/11191DEFN-Appointment-of-Mark-Tory-as-CEO.asp	2	-1	2878	2837	1	100	9675	0.1423487544484		
1141388268	20231120143000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	-1	2285	2167	1	30	3157	-0.61224489795918		
1210811651	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	-1	2303	2182	0	10	3157	-0.61224489795918		
1141433317	20231120190000	20241119170000	1	gdnonline.com	https://www.gdnonline.com:443/Details/1337703	25	-1	4900	4895	1	50	5705	-7.4074074074074		
1210811652	20241119170000	20241119170000	1	postcourier.com.pg	https://www.postcourier.com.pg/slow-climate-talks-frustrate-pacific/	7	1208	-1	1267	0	40	2671	-0.88300220750552		
1210811653	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827162	9	2199	-1	2225	1	50	2484	0.75		
1210811654	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	3	293	341	302	0	20	3799	1.158940397351		
1210811655	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	3	293	341	302	1	80	3799	1.158940397351		
1210811656	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	3	293	352	302	0	20	3799	1.158940397351		
1210811657	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	3	293	352	302	1	80	3799	1.158940397351		
1210735790	20241119094500	20241119170000	1	castanetkamloops.net	https://www.castanetkamloops.net/news/BC/518175/A-bomb-cyclone-sounds-scary-but-meteorologist-says-it-s-not-alarmist	8	2397	-1	2404	1	60	3082	-4.84496124031007		
1210811658	20241119170000	20241119170000	1	castanetkamloops.net	https://www.castanetkamloops.net/news/BC/518175/A-bomb-cyclone-sounds-scary-but-meteorologist-says-it-s-not-alarmist	8	2397	-1	2404	0	40	3082	-4.84496124031007		
1210800873	20241119160000	20241119170000	1	webindia123.com	https://news.webindia123.com/news/Articles/India/20241119/4257586.html	8	2506	2487	2475	1	100	2925	-2.48447204968944		
1210811659	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	10	2704	2801	2750	0	20	3799	1.158940397351		
1210811660	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	8	2192	2051	2095	0	20	3799	1.158940397351		
1210811661	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	8	2192	2051	2095	1	80	3799	1.158940397351		
1141346763	20231120103000	20241119170000	1	thefrontierpost.com	https://thefrontierpost.com/angelina-jolie-on-new-hunt-amid-brad-pitt-winery-battle-source/	4	303	-1	343	0	40	1118	-3.48258706467661		
1210811662	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/business/2024/11/20/2401413/philippines-cambodia-set-sign-double-taxation-deal-2025	3	410	461	340	0	10	2438	0.80428954423593		
1210811663	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/business/2024/11/20/2401413/philippines-cambodia-set-sign-double-taxation-deal-2025	3	410	461	340	0	10	2438	0.80428954423593		
1210811664	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/business/2024/11/20/2401413/philippines-cambodia-set-sign-double-taxation-deal-2025	3	410	461	380	0	20	2438	0.80428954423593		
1210800881	20241119160000	20241119170000	1	webindia123.com	https://news.webindia123.com/news/Articles/India/20241119/4257586.html	8	2487	2506	2475	1	100	2925	-2.48447204968944		
1210720690	20241119080000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/world/archives/2024/11/20/2003827203	5	659	-1	710	0	20	3236	-9.64566929133858		
1141296639	20231120041500	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/world/archives/2024/11/20/2003827203	5	659	-1	722	1	80	3236	-9.64566929133858		
1210811665	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/business/2024/11/20/2401413/philippines-cambodia-set-sign-double-taxation-deal-2025	3	461	410	380	0	20	2438	0.80428954423593		
1210799201	20241119154500	20241119170000	1	singletonargus.com.au	https://www.singletonargus.com.au/story/8824441/us-envoy-says-israel-hezbollah-truce-within-our-grasp/	9	2312	-1	2333	0	40	4976	-2.25846925972397		
1210792512	20241119151500	20241119170000	1	juneauempire.com	https://www.juneauempire.com/news/dire-condition-of-alaskas-seafood-industry-has-many-causes-and-no-easy-fixes-experts-say/	18	6433	6499	6586	0	10	9278	0.0673400673400701		
1210792513	20241119151500	20241119170000	1	juneauempire.com	https://www.juneauempire.com/news/dire-condition-of-alaskas-seafood-industry-has-many-causes-and-no-easy-fixes-experts-say/	18	6433	6645	6659	0	10	9278	0.0673400673400701		
1141388268	20231120143000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2285	-1	2167	1	30	3157	-0.61224489795918		
1210811666	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2303	-1	2182	0	10	3157	-0.61224489795918		
1210811667	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2251	2084	2133	0	30	3157	-0.61224489795918		
1210811668	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2251	2084	2133	0	20	3157	-0.61224489795918		
1210811669	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2303	2133	2182	0	10	3157	-0.61224489795918		
1210751116	20241119113000	20241119170000	1	thehindu.com	https://www.thehindu.com/news/international/beijing-says-myanmar-rebel-leader-in-china-for-medical-care/article68886083.ece	8	1546	-1	1559	1	50	2630	-2.33100233100233		
1210811670	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/business/2024/11/20/2401427/toyota-export-revenues-hit-665-million-2023	2	498	582	596	0	20	2100	0.98360655737705		
1210811671	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/business/2024/11/20/2401427/toyota-export-revenues-hit-665-million-2023	2	498	562	520	1	60	2100	0.98360655737705		
1210811672	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/business/2024/11/20/2401427/toyota-export-revenues-hit-665-million-2023	2	498	582	596	0	20	2100	0.98360655737705		
1141296923	20231120041500	20241119170000	1	philstar.com	https://www.philstar.com/headlines/2024/11/20/2401494/marcos-trump-discuss-alliance-phone-call	8	1814	1835	1779	1	70	5970	1.74291938997822		
1210811673	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/headlines/2024/11/20/2401494/marcos-trump-discuss-alliance-phone-call	8	1814	1852	1779	0	10	5970	1.74291938997822		
1210808771	20241119164500	20241119170000	1	yahoo.com	https://www.yahoo.com/news/romanian-court-finds-irregularities-prosecutors-161625293.html	5	791	809	839	0	20	2747	-9.69976905311778		
1210808771	20241119164500	20241119170000	1	thespec.com	https://www.thespec.com/news/world/europe/romanian-court-finds-irregularities-in-prosecutors-case-against-andrew-tate/article_cf0a0eff-190a-5987-99f5-5766130fc7e7.html	5	785	803	833	0	20	2772	-9.58904109589046		
1210808772	20241119164500	20241119170000	1	thespec.com	https://www.thespec.com/news/world/europe/romanian-court-finds-irregularities-in-prosecutors-case-against-andrew-tate/article_cf0a0eff-190a-5987-99f5-5766130fc7e7.html	5	785	-1	815	1	60	2772	-9.58904109589046		
1210808772	20241119164500	20241119170000	1	yahoo.com	https://www.yahoo.com/news/romanian-court-finds-irregularities-prosecutors-161625293.html	5	791	-1	821	1	60	2747	-9.69976905311778		
1210811674	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	8	2051	2192	2095	1	80	3799	1.158940397351		
1210811675	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	8	2051	2192	2095	0	20	3799	1.158940397351		
1210811676	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	10	2801	2704	2750	0	20	3799	1.158940397351		
1210811677	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2084	2251	2133	0	40	3157	-0.61224489795918		
1210811678	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2133	2303	2182	0	10	3157	-0.61224489795918		
1210811679	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/biz/archives/2024/11/20/2003827163	7	2133	2303	2182	0	10	3157	-0.61224489795918		
1210811680	20241119170000	20241119170000	1	stereoboard.com	https://www.stereoboard.com/content/view/245814/9	3	202	234	274	1	30	3316	-1.89753320683112		
1210811681	20241119170000	20241119170000	1	stereoboard.com	https://www.stereoboard.com/content/view/245814/9	3	202	261	285	0	10	3316	-1.89753320683112		
1210811682	20241119170000	20241119170000	1	stereoboard.com	https://www.stereoboard.com/content/view/245814/9	3	202	243	267	0	10	3316	-1.89753320683112		
1141297095	20231120041500	20241119170000	1	philstar.com	https://www.philstar.com/headlines/2024/11/20/2401494/marcos-trump-discuss-alliance-phone-call	8	1835	1814	1779	1	70	5970	1.74291938997822		
1210811683	20241119170000	20241119170000	1	philstar.com	https://www.philstar.com/headlines/2024/11/20/2401494/marcos-trump-discuss-alliance-phone-call	8	1852	1814	1779	0	10	5970	1.74291938997822		
1210678151	20241119021500	20241119170000	1	ktbb.com	https://ktbb.com/post/?p=1370673	14	2876	-1	2892	1	60	2883	0.85470085470086		
1210792521	20241119151500	20241119170000	1	juneauempire.com	https://www.juneauempire.com/news/dire-condition-of-alaskas-seafood-industry-has-many-causes-and-no-easy-fixes-experts-say/	18	6450	6543	6570	0	10	9278	0.0673400673400701		
1210678152	20241119021500	20241119170000	1	ktbb.com	https://ktbb.com/post/?p=1370673	14	2876	2890	2916	0	40	2883	0.85470085470086		
1210770628	20241119131500	20241119170000	1	nwaonline.com	https://www.nwaonline.com/news/2024/nov/19/vista-urged-to-vote-on-ammo-brand-sale/	3	-1	280	327	1	50	1089	5.64971751412429		
1210777286	20241119140000	20241119170000	1	middle-east-online.com	https://www.middle-east-online.com/en/lebanons-army-cornered-politics-funding	29	-1	6678	6646	1	30	7955	-2.05533596837945		
1210811684	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	-1	618	566	0	20	5811	-4.75206611570248		
1210811685	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	-1	705	566	1	10	5811	-4.75206611570248		
1210762744	20241119123000	20241119170000	1	kpbs.org	https://www.kpbs.org/news/science-technology/2024/11/19/development-of-elon-musks-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1346	1463	0	60	4352	0.418410041841		
1210762744	20241119123000	20241119170000	1	kansaspublicradio.org	https://kansaspublicradio.org/npr-news/2024-11-19/development-of-elon-musks-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1346	1463	0	60	4352	0.418410041841		
1210762744	20241119123000	20241119170000	1	kpcw.org	https://www.kpcw.org/npr-top-stories/2024-11-19/development-of-elon-musks-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1346	1463	0	60	4352	0.418410041841		
1210762744	20241119123000	20241119170000	1	northcountrypublicradio.org	https://www.northcountrypublicradio.org/news/npr/nx-s1-5188416/development-of-elon-musk-s-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1582	1699	0	60	4580	0.3968253968254		
1205131598	20241020013000	20241119170000	1	kpbs.org	https://www.kpbs.org/news/science-technology/2024/11/19/development-of-elon-musks-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1340	1403	1	20	4352	0.418410041841		
1205131598	20241020013000	20241119170000	1	northcountrypublicradio.org	https://www.northcountrypublicradio.org/news/npr/nx-s1-5188416/development-of-elon-musk-s-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1576	1639	1	20	4580	0.3968253968254		
1205131598	20241020013000	20241119170000	1	kansaspublicradio.org	https://kansaspublicradio.org/npr-news/2024-11-19/development-of-elon-musks-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1340	1403	1	20	4352	0.418410041841		
1205131598	20241020013000	20241119170000	1	kpcw.org	https://www.kpcw.org/npr-top-stories/2024-11-19/development-of-elon-musks-rocket-to-mars-will-likely-take-off-under-trump	6	-1	1340	1403	1	20	4352	0.418410041841		
1210811686	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	-1	705	547	1	30	5811	-4.75206611570248		
1210770627	20241119131500	20241119170000	1	nwaonline.com	https://www.nwaonline.com/news/2024/nov/19/vista-urged-to-vote-on-ammo-brand-sale/	3	280	-1	327	1	50	1089	5.64971751412429		
1210811687	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	7	1762	1820	1813	1	70	3799	1.158940397351		
1210811688	20241119170000	20241119170000	1	taipeitimes.com	https://www.taipeitimes.com/News/taiwan/archives/2024/11/20/2003827193	7	1762	1820	1813	0	10	3799	1.158940397351		
1210811689	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	646	588	566	1	10	5811	-4.75206611570248		
1210751122	20241119113000	20241119170000	1	thefrontierpost.com	https://thefrontierpost.com/british-farmers-mass-in-london-to-protest-inheritance-tax-change/	2	717	762	748	1	100	3851	-4.97592295345104		
1210811690	20241119170000	20241119170000	1	yahoo.com	https://www.yahoo.com/news/ngos-shaking-human-rights-enforcement-140000970.html	19	6765	6870	6781	1	100	12212	-5.249343832021		
1210811691	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	518	634	562	0	10	5811	-4.75206611570248		
1210811692	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	533	665	577	0	10	5811	-4.75206611570248		
1210811693	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	533	761	558	0	10	5811	-4.75206611570248		
1210811694	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	518	730	543	0	10	5811	-4.75206611570248		
1210811695	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	588	646	566	1	10	5811	-4.75206611570248		
1210811696	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	588	618	566	0	20	5811	-4.75206611570248		
1210811697	20241119170000	20241119170000	1	ktvu.com	https://www.ktvu.com/news/lawyers-horrified-conditions-fci-dublin-transfers-alabama-prison	1	588	705	547	1	30	5811	-4.75206611570248		
1210811698	20241119170000	20241119170000	1	kold.com	https://www.kold.com/2024/11/19/california-governor-delays-clemency-decision-menendez-brothers/	3	609	661	646	0	20	1069	-2.84090909090909		
