1256334098	20240807	202408	2024	2024.5945	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								0	043	043	04	1	2.8	1	1	1	2.87206266318538	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	3	The White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	3	The White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250807233000	https://www.washingtonexaminer.com/news/white-house/3493755/trump-honors-purple-heart-recipients-white-house-ceremony/
1256334099	20240807	202408	2024	2024.5945	USA	UNITED STATES	USA								GOV	PRESIDENT						GOV			0	042	042	04	1	1.9	1	1	1	2.87206266318538	3	The White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	3	The White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250807233000	https://www.washingtonexaminer.com/news/white-house/3493755/trump-honors-purple-heart-recipients-white-house-ceremony/
1256334100	20240807	202408	2024	2024.5945	USA	UNITED STATES	USA								GOV	PRESIDENT						GOV			0	051	051	05	1	3.4	1	1	1	2.87206266318538	3	The White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	3	The White House, District of Columbia, United States	US	USDC		38.8951	-77.0364	531871	20250807233000	https://www.washingtonexaminer.com/news/white-house/3493755/trump-honors-purple-heart-recipients-white-house-ceremony/
1256334101	20250708	202507	2025	2025.5151	COP	POLICE						COP													1	051	051	05	1	3.4	2	1	2	-0.67567567567568	3	Nampa, Idaho, United States	US	USID	ID027	43.5407	-116.563	396943	0								3	Nampa, Idaho, United States	US	USID	ID027	43.5407	-116.563	396943	20250807233000	https://www.idahostatejournal.com/townnews/police/idaho-police-k-9-riddick-to-be-honored-during-national-event/article_3cefa999-42e5-5991-af74-62fa86062bca.html
1256334102	20250708	202507	2025	2025.5151	UKR	UKRAINE	UKR																		1	030	030	03	1	4.0	6	1	6	-1.63487738419618	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	0								4	Chevening, Kent, United Kingdom	UK	UKG5	40117	51.2833	0.133333	-2592401	20250807233000	https://www.aol.co.uk/david-lammy-host-jd-vance-230139059.html
1256334103	20250708	202507	2025	2025.5151	UKR	UKRAINE	UKR																		1	030	030	03	1	4.0	16	8	16	-1.11504723537903	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	0								4	Chevening, Kent, United Kingdom	UK	UKG5	40117	51.2833	0.133333	-2592401	20250807233000	https://www.wiltsglosstandard.co.uk/news/national/25374317.david-lammy-host-jd-vance-us-vice-president-arrives-uk-holiday/
1256334104	20250708	202507	2025	2025.5151	UKR	UKRAINE	UKR																		0	030	030	03	1	4.0	14	7	14	-1.04078578554801	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								4	Chevening, Kent, United Kingdom	UK	UKG5	40117	51.2833	0.133333	-2592401	20250807233000	https://www.wiltsglosstandard.co.uk/news/national/25374317.david-lammy-host-jd-vance-us-vice-president-arrives-uk-holiday/
1256334105	20250708	202507	2025	2025.5151	UKR	UKRAINE	UKR																		1	030	030	03	1	4.0	44	8	44	-1.06778994912293	1	Ukraine	UP	UP		49	32	UP	0								4	Chevening, Kent, United Kingdom	UK	UKG5	40117	51.2833	0.133333	-2592401	20250807233000	https://www.wiltsglosstandard.co.uk/news/national/25374317.david-lammy-host-jd-vance-us-vice-president-arrives-uk-holiday/
1256334106	20250708	202507	2025	2025.5151	USACOP	UNITED STATES	USA					COP													1	051	051	05	1	3.4	8	1	8	-0.67567567567568	3	Nampa, Idaho, United States	US	USID	ID027	43.5407	-116.563	396943	0								3	Nampa, Idaho, United States	US	USID	ID027	43.5407	-116.563	396943	20250807233000	https://www.idahostatejournal.com/townnews/police/idaho-police-k-9-riddick-to-be-honored-during-national-event/article_3cefa999-42e5-5991-af74-62fa86062bca.html
1256334107	20250731	202507	2025	2025.5781											AUS	AUSTRALIA	AUS								1	173	173	17	4	-5.0	2	1	2	-7.34618916437098	0								4	Ulladulla, New South Wales, Australia	AS	AS02	5081	-35.3591	150.472	-1606414	4	Darlinghurst, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1569000	20250807233000	https://www.ulladullatimes.com.au/story/9035993/gareth-ward-loses-court-fight-to-keep-his-mp-seat/
1256334108	20250731	202507	2025	2025.5781											JEW	JEWISH				JEW					1	112	112	11	3	-2.0	10	1	10	-10.9826589595376	0								0								0								20250807233000	https://www.wsbradio.com/news/crime-and-law/metro-atlanta-man-accused-making-racist-threats-online-denied-bond/CESOSENBBBF3BOXRGJON334LAU/
1256334109	20250731	202507	2025	2025.5781	FRA	FRANCE	FRA								CVL	SETTLEMENT						CVL			1	014	014	01	1	0.0	3	1	3	2.03703703703704	3	Delaware County, Pennsylvania, United States	US	USPA	PA045	40.0004	-75.3749	1209177	3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	20250807233000	https://www.delcotimes.com/2025/08/07/no-deal-has-been-reached-in-crozer-health-medical-records-fees/
1256334110	20250731	202507	2025	2025.5781	FRA	FRANCE	FRA								CVL	SETTLEMENT						CVL			1	014	014	01	1	0.0	1	1	1	2.03703703703704	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250807233000	https://www.delcotimes.com/2025/08/07/no-deal-has-been-reached-in-crozer-health-medical-records-fees/
1256334111	20250731	202507	2025	2025.5781	USA	UNITED STATES	USA								CVL	SETTLEMENT						CVL			1	014	014	01	1	0.0	1	1	1	2.03703703703704	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	2	Pennsylvania, United States	US	USPA		40.5773	-77.264	PA	20250807233000	https://www.delcotimes.com/2025/08/07/no-deal-has-been-reached-in-crozer-health-medical-records-fees/
1256334112	20250806	202508	2025	2025.5918	GOV	PRESIDENT						GOV													1	040	040	04	1	1.0	6	1	6	-3.20665083135391	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	0								2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20250807233000	https://redstate.com/katie-jerkovich/2025/08/07/grieving-mother-reveals-letter-from-trump-after-son-was-killed-in-dc-shared-whos-not-reached-out-n2192572
1256334113	20250806	202508	2025	2025.5918	GOV	PRESIDENT						GOV			USA	UNITED STATES	USA								1	040	040	04	1	1.0	2	1	2	-3.20665083135391	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	2	Massachusetts, United States	US	USMA		42.2373	-71.5314	MA	20250807233000	https://redstate.com/katie-jerkovich/2025/08/07/grieving-mother-reveals-letter-from-trump-after-son-was-killed-in-dc-shared-whos-not-reached-out-n2192572
